time;copter_pitch_angle;copter_pitch_angle_kal;copter_pitch_angle_komp;copter_roll_angle;copter_roll_angle_kal;copter_roll_angle_komp;speed_test;
9,077;-1,1875;-1,163708209991455;-1,1690173149108887;-31,375;-31,39420509338379;-31,3999080657959;100;
9,08;-1,1875;-1,163708209991455;-1,1690173149108887;-31,375;-31,39420509338379;-31,3999080657959;100;
9,082;-1,1875;-1,163708209991455;-1,1690173149108887;-31,375;-31,39420509338379;-31,3999080657959;100;
9,084;-1,1875;-1,163708209991455;-1,1690173149108887;-31,375;-31,39420509338379;-31,3999080657959;100;
9,086;-1,1875;-1,1622400283813477;-1,1676580905914307;-31,375;-31,395780563354492;-31,40047836303711;100;
9,089;-1,1875;-1,1622400283813477;-1,1676580905914307;-31,375;-31,395780563354492;-31,40047836303711;100;
9,091;-1,1875;-1,1622400283813477;-1,1676580905914307;-31,375;-31,395780563354492;-31,40047836303711;100;
9,093;-1,1875;-1,1622400283813477;-1,1676580905914307;-31,375;-31,395780563354492;-31,40047836303711;100;
9,096;-1,1875;-1,1631747484207153;-1,1676229238510132;-31,375;-31,394861221313477;-31,3994083404541;100;
9,098;-1,1875;-1,1631747484207153;-1,1676229238510132;-31,375;-31,394861221313477;-31,3994083404541;100;
9,101;-1,1875;-1,1631747484207153;-1,1676229238510132;-31,375;-31,394861221313477;-31,3994083404541;100;
9,103;-1,1875;-1,1634472608566284;-1,1684321165084839;-31,375;-31,391170501708984;-31,39653968811035;100;
9,106;-1,1875;-1,1634472608566284;-1,1684321165084839;-31,375;-31,391170501708984;-31,39653968811035;100;
9,108;-1,1875;-1,1634472608566284;-1,1684321165084839;-31,375;-31,391170501708984;-31,39653968811035;100;
9,111;-1,1875;-1,1634472608566284;-1,1684321165084839;-31,375;-31,391170501708984;-31,39653968811035;100;
9,113;-1,1875;-1,1634472608566284;-1,1684321165084839;-31,375;-31,391170501708984;-31,39653968811035;100;
9,115;-1,1875;-1,1634472608566284;-1,1684321165084839;-31,375;-31,391170501708984;-31,39653968811035;100;
9,117;-1,1875;-1,1637409925460815;-1,1685550212860107;-31,375;-31,387250900268555;-31,394161224365234;100;
9,12;-1,1875;-1,1637409925460815;-1,1685550212860107;-31,375;-31,387250900268555;-31,394161224365234;100;
9,122;-1,1875;-1,1637409925460815;-1,1685550212860107;-31,375;-31,387250900268555;-31,394161224365234;100;
