time;copter_roll_angle;kd;ki;kp;REF_ROLL_ANGLE;SS;
0,387;-31,125;12;0,000009999999747378752;2,5;0;0;
0,39;-31,125;12;0,000009999999747378752;2,5;0;0;
0,393;-31,125;12;0,000009999999747378752;2,5;0;0;
0,396;-31,125;12;0,000009999999747378752;2,5;0;0;
0,399;-31,125;12;0,000009999999747378752;2,5;0;0;
0,402;-31,125;12;0,000009999999747378752;2,5;0;0;
0,405;-31,125;12;0,000009999999747378752;2,5;0;0;
0,408;-31,125;12;0,000009999999747378752;2,5;0;0;
0,411;-31,125;12;0,000009999999747378752;2,5;0;0;
0,413;-31,125;12;0,000009999999747378752;2,5;0;0;
0,416;-31,125;12;0,000009999999747378752;2,5;0;0;
0,42;-31,125;12;0,000009999999747378752;2,5;0;0;
0,423;-31,125;12;0,000009999999747378752;2,5;0;0;
0,426;-31,125;12;0,000009999999747378752;2,5;0;0;
0,429;-31,125;12;0,000009999999747378752;2,5;0;0;
0,432;-31,125;12;0,000009999999747378752;2,5;0;0;
0,434;-31,125;12;0,000009999999747378752;2,5;0;0;
0,438;-31,125;12;0,000009999999747378752;2,5;0;0;
0,441;-31,125;12;0,000009999999747378752;2,5;0;0;
0,444;-31,125;12;0,000009999999747378752;2,5;0;0;
0,446;-31,125;12;0,000009999999747378752;2,5;0;0;
0,449;-31,125;12;0,000009999999747378752;2,5;0;0;
0,452;-31,125;12;0,000009999999747378752;2,5;0;0;
0,456;-31,125;12;0,000009999999747378752;2,5;0;0;
0,459;-31,125;12;0,000009999999747378752;2,5;0;0;
0,462;-31,125;12;0,000009999999747378752;2,5;0;0;
0,464;-31,125;12;0,000009999999747378752;2,5;0;0;
0,467;-31,125;12;0,000009999999747378752;2,5;0;0;
0,471;-31,125;12;0,000009999999747378752;2,5;0;0;
0,474;-31,125;12;0,000009999999747378752;2,5;0;0;
0,478;-31,125;12;0,000009999999747378752;2,5;0;0;
0,481;-31,125;12;0,000009999999747378752;2,5;0;0;
0,484;-31,125;12;0,000009999999747378752;2,5;0;0;
0,487;-31,125;12;0,000009999999747378752;2,5;0;0;
0,49;-31,125;12;0,000009999999747378752;2,5;0;0;
0,493;-31,125;12;0,000009999999747378752;2,5;0;0;
0,495;-31,125;12;0,000009999999747378752;2,5;0;0;
0,498;-31,125;12;0,000009999999747378752;2,5;0;0;
0,501;-31,125;12;0,000009999999747378752;2,5;0;0;
0,504;-31,125;12;0,000009999999747378752;2,5;0;0;
0,508;-31,125;12;0,000009999999747378752;2,5;0;0;
0,511;-31,125;12;0,000009999999747378752;2,5;0;0;
0,513;-31,125;12;0,000009999999747378752;2,5;0;0;
0,516;-31,125;12;0,000009999999747378752;2,5;0;0;
0,52;-31,125;12;0,000009999999747378752;2,5;0;0;
0,523;-31,125;12;0,000009999999747378752;2,5;0;0;
0,526;-31,125;12;0,000009999999747378752;2,5;0;0;
0,529;-31,125;12;0,000009999999747378752;2,5;0;0;
0,531;-31,125;12;0,000009999999747378752;2,5;0;0;
0,534;-31,125;12;0,000009999999747378752;2,5;0;0;
0,537;-31,125;12;0,000009999999747378752;2,5;0;0;
0,541;-31,125;12;0,000009999999747378752;2,5;0;0;
0,543;-31,125;12;0,000009999999747378752;2,5;0;0;
0,546;-31,125;12;0,000009999999747378752;2,5;0;0;
0,548;-31,125;12;0,000009999999747378752;2,5;0;0;
0,55;-31,125;12;0,000009999999747378752;2,5;0;0;
0,553;-31,125;12;0,000009999999747378752;2,5;0;0;
0,557;-31,125;12;0,000009999999747378752;2,5;0;0;
0,56;-31,125;12;0,000009999999747378752;2,5;0;0;
0,562;-31,125;12;0,000009999999747378752;2,5;0;0;
0,565;-31,125;12;0,000009999999747378752;2,5;0;0;
0,568;-31,125;12;0,000009999999747378752;2,5;0;0;
0,572;-31,125;12;0,000009999999747378752;2,5;0;0;
