time,ac_x,ac_x_f,ac_y,ac_y_f,
6.768,-2.5899999141693115,-2.56180739402771,2.009999990463257,2.067544937133789,
6.778,-2.6700000762939453,-2.637542247772217,1.899999976158142,1.950263500213623,
6.788,-2.640000104904175,-2.6392626762390137,1.690000057220459,1.7680790424346924,
6.798,-2.490000009536743,-2.5347788333892822,1.3700000047683716,1.4894237518310547,
6.808,-2.5799999237060547,-2.5664336681365967,1.2699999809265137,1.335827112197876,
6.818,-2.440000057220459,-2.4779300689697266,1.0499999523162842,1.1357481479644775,
6.828,-2.299999952316284,-2.353379011154175,0.9399999976158142,0.9987244606018066,
6.839,-2.4600000381469727,-2.428013801574707,0.6399999856948853,0.7476173639297485,
6.848,-2.390000104904175,-2.4014041423797607,0.3499999940395355,0.4692852199077606,
6.858,-2.299999952316284,-2.330421209335327,0.05000000074505806,0.17578557133674622,
6.868,-2.680000066757202,-2.5751264095306396,-0.23999999463558197,-0.11526431888341904,
6.878,-2.640000104904175,-2.6205379962921143,-0.47999998927116394,-0.3705793023109436,
6.888,-2.619999885559082,-2.620161294937134,-0.6899999976158142,-0.594173789024353,
6.898,-2.450000047683716,-2.5010483264923096,-1.059999942779541,-0.9202521443367004,
6.908,-2.450000047683716,-2.4653143882751465,-1.059999942779541,-1.018075704574585,
6.918,-2.430000066757202,-2.44059419631958,-1.2599999904632568,-1.187422752380371,
6.928,-2.5,-2.482178211212158,-1.5299999713897705,-1.4272267818450928,
6.938,-2.5399999618530273,-2.522653341293335,-1.9299999475479126,-1.7791680097579956,
6.948,-2.490000009536743,-2.499795913696289,-2.140000104904175,-2.031750440597534,
6.958,-2.490000009536743,-2.492938756942749,-2.140000104904175,-2.107525110244751,
6.968,-2.5199999809265137,-2.5118815898895264,-2.3399999141693115,-2.2702574729919434,
6.978,-2.7699999809265137,-2.6925644874572754,-2.609999895095825,-2.5080771446228027,
6.988,-2.7699999809265137,-2.746769428253174,-2.75,-2.6774232387542725,
6.998,-2.619999885559082,-2.6580307483673096,-2.869999885559082,-2.8122270107269287,
7.008,-2.5299999713897705,-2.5684092044830322,-3.2300000190734863,-3.104668140411377,
7.018,-2.450000047683716,-2.485522747039795,-3.3299999237060547,-3.2624003887176514,
7.028,-2.5299999713897705,-2.5166568756103516,-3.490000009536743,-3.421720027923584,
7.038,-3.440000057220459,-3.162997007369995,-5.889999866485596,-5.1495161056518555,
7.048,-3.440000057220459,-3.3568990230560303,-3.930000066757202,-4.2958550453186035,
7.058,-2.759999990463257,-2.9390697479248047,-5.190000057220459,-4.921756744384766,
7.068,-2.7699999809265137,-2.820720911026001,-5.090000152587891,-5.03952693939209,
7.078,-2.450000047683716,-2.561216354370117,-4.849999904632568,-4.906857967376709,
7.088,-1.5299999713897705,-1.839365005493164,-4.679999828338623,-4.7480573654174805,
7.099,-2.0399999618530273,-1.9798095226287842,-4.940000057220459,-4.88241720199585,
7.108,-2.140000104904175,-2.09194278717041,-5.489999771118164,-5.307724952697754,
7.118,-2.259999990463257,-2.209582805633545,-5.760000228881836,-5.624317646026611,
7.128,-2.200000047683716,-2.2028748989105225,-5.75,-5.712295055389404,
7.138,-0.9200000166893005,-1.3048624992370605,-3.559999942779541,-4.2056884765625,
7.148,-1.350000023841858,-1.3364588022232056,-3.859999895095825,-3.9637064933776855,
7.158,-1.9800000190734863,-1.7869375944137573,-4.329999923706055,-4.220111846923828,
7.168,-2.109999895095825,-2.0130813121795654,-4.53000020980835,-4.437033653259277,
7.178,-2.2300000190734863,-2.164924383163452,-4.360000133514404,-4.383110046386719,
7.188,-1.8600000143051147,-1.951477289199829,-4.349999904632568,-4.359932899475098,
7.198,-1.7400000095367432,-1.803443193435669,-4.900000095367432,-4.737979888916016,
7.208,-1.1699999570846558,-1.3600329160690308,-4.659999847412109,-4.683393955230713,
7.218,-1.2799999713897705,-1.3040099143981934,-5.090000152587891,-4.968018054962158,
7.228,-1.3799999952316284,-1.3572030067443848,-4.980000019073486,-4.976405143737793,
7.238,-1.7300000190734863,-1.6181608438491821,-5.170000076293945,-5.111921310424805,
7.248,-1.850000023841858,-1.7804481983184814,-4.210000038146973,-4.480576515197754,
7.258,-1.9299999475479126,-1.8851344585418701,-4.119999885559082,-4.228172779083252,
7.268,-2.049999952316284,-2.000540256500244,-3.7300000190734863,-3.8794519901275635,
7.278,-2.5,-2.3501620292663574,-4.329999923706055,-4.194835662841797,
7.288,-1.8799999952316284,-2.0210485458374023,-4.329999923706055,-4.289450645446777,
7.298,-1.7000000476837158,-1.7963145971298218,-3.8399999141693115,-3.974835157394409,
